"","Wavelength..nm.","Intensity","X","Y"
"538",454.367934224049,127.041742286751,454.367934224049,127.041742286751
"537",454.624871531346,136.116152450091,454.624871531346,136.116152450091
"536",454.881808838643,145.19056261343,454.881808838643,145.19056261343
"535",455.13874614594,154.26497277677,455.13874614594,154.26497277677
"534",455.395683453237,163.339382940109,455.395683453237,163.339382940109
"533",455.652620760534,172.413793103448,455.652620760534,172.413793103448
"532",455.909558067831,181.488203266788,455.909558067831,181.488203266788
"531",456.166495375128,190.562613430127,456.166495375128,190.562613430127
"530",456.423432682425,199.637023593466,456.423432682425,199.637023593466
"528",456.680369989723,217.785843920145,456.680369989723,217.785843920145
"527",456.93730729702,226.860254083485,456.93730729702,226.860254083485
"525",457.194244604317,245.009074410163,457.194244604317,245.009074410163
"523",457.451181911614,263.157894736842,457.451181911614,263.157894736842
"522",457.708119218911,272.232304900181,457.708119218911,272.232304900181
"520",457.965056526208,290.38112522686,457.965056526208,290.38112522686
"518",458.221993833505,308.529945553539,458.221993833505,308.529945553539
"516",458.478931140802,326.678765880218,458.478931140802,326.678765880218
"515",458.735868448099,335.753176043557,458.735868448099,335.753176043557
"513",458.992805755396,353.901996370236,458.992805755396,353.901996370236
"511",459.249743062693,372.050816696915,459.249743062693,372.050816696915
"509",459.50668036999,390.199637023593,459.50668036999,390.199637023593
"507",459.763617677287,408.348457350272,459.763617677287,408.348457350272
"505",460.020554984584,426.497277676951,460.020554984584,426.497277676951
"503",460.277492291881,444.64609800363,460.277492291881,444.64609800363
"500",460.534429599178,471.869328493648,460.534429599178,471.869328493648
"498",460.791366906475,490.018148820327,460.791366906475,490.018148820327
"496",461.048304213772,508.166969147005,461.048304213772,508.166969147005
"493",461.305241521069,535.390199637024,461.305241521069,535.390199637024
"490",461.562178828366,562.613430127042,461.562178828366,562.613430127042
"488",461.819116135663,580.762250453721,461.819116135663,580.762250453721
"485",462.07605344296,607.985480943739,462.07605344296,607.985480943739
"482",462.332990750257,635.208711433757,462.332990750257,635.208711433757
"480",462.589928057554,653.357531760436,462.589928057554,653.357531760436
"476",462.846865364851,689.655172413793,462.846865364851,689.655172413793
"474",463.103802672148,707.803992740472,463.103802672148,707.803992740472
"471",463.360739979445,735.02722323049,463.360739979445,735.02722323049
"467",463.617677286742,771.324863883848,463.617677286742,771.324863883848
"463",463.874614594039,807.622504537205,463.874614594039,807.622504537205
"460",464.131551901336,834.845735027223,464.131551901336,834.845735027223
"455",464.388489208633,880.21778584392,464.388489208633,880.21778584392
"451",464.64542651593,916.515426497278,464.64542651593,916.515426497278
"447",464.902363823227,952.813067150635,464.902363823227,952.813067150635
"442",465.159301130524,998.185117967332,465.159301130524,998.185117967332
"437",465.416238437821,1043.55716878403,465.416238437821,1043.55716878403
"432",465.673175745118,1088.92921960073,465.673175745118,1088.92921960073
"425",465.930113052415,1152.4500907441,465.930113052415,1152.4500907441
"419",466.187050359712,1206.89655172414,466.187050359712,1206.89655172414
"414",466.443987667009,1252.26860254083,466.443987667009,1252.26860254083
"407",466.700924974306,1315.78947368421,466.700924974306,1315.78947368421
"398",466.957862281603,1397.45916515427,466.957862281603,1397.45916515427
"391",467.2147995889,1460.98003629764,467.2147995889,1460.98003629764
"383",467.471736896197,1533.57531760436,467.471736896197,1533.57531760436
"372",467.728674203494,1633.39382940109,467.728674203494,1633.39382940109
"363",467.985611510791,1715.06352087114,467.985611510791,1715.06352087114
"353",468.242548818088,1805.80762250454,468.242548818088,1805.80762250454
"342",468.499486125385,1905.62613430127,468.499486125385,1905.62613430127
"332",468.756423432682,1996.37023593466,468.756423432682,1996.37023593466
"319",469.013360739979,2114.33756805808,469.013360739979,2114.33756805808
"303",469.270298047276,2259.52813067151,469.270298047276,2259.52813067151
"293",469.527235354573,2350.2722323049,469.527235354573,2350.2722323049
"283",469.784172661871,2441.01633393829,469.784172661871,2441.01633393829
"263",470.041109969168,2622.50453720508,470.041109969168,2622.50453720508
"250",470.298047276465,2740.47186932849,470.298047276465,2740.47186932849
"239",470.554984583762,2840.29038112523,470.554984583762,2840.29038112523
"221",470.811921891059,3003.62976406534,470.811921891059,3003.62976406534
"209",471.068859198356,3112.52268602541,471.068859198356,3112.52268602541
"194",471.325796505653,3248.6388384755,471.325796505653,3248.6388384755
"177",471.58273381295,3402.90381125227,471.58273381295,3402.90381125227
"162",471.839671120247,3539.01996370236,471.839671120247,3539.01996370236
"151",472.096608427544,3638.83847549909,472.096608427544,3638.83847549909
