"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
99,67,270,442,-91,-3,598,41,158,331,276,113,225,408,240,-329,812,402
151,95,137,517,-208,28,674,11,177,351,279,92,-119,551,305,-231,855,451
445,254,-295,639,252,128,283,259,378,332,223,110,171,630,270,-148,885,449
271,42,-39,485,353,40,184,351,304,292,100,62,554,453,140,-218,781,339
33,-150,187,370,-131,-49,619,80,74,298,81,-12,312,369,139,-301,702,290
321,123,-190,556,-298,154,785,-73,298,305,148,59,37,510,244,-223,746,341
510,385,-237,626,-149,346,657,112,570,321,207,187,163,584,302,-82,792,386
232,332,65,433,-139,188,596,353,282,339,245,196,261,491,304,-57,758,406
164,294,-137,415,-81,65,377,431,40,288,222,185,178,430,283,-100,688,417
417,285,-353,528,77,186,233,362,194,246,194,242,163,486,274,-63,670,425
396,181,0,433,95,123,547,292,236,284,223,267,226,552,301,-22,710,419
268,209,156,374,-4,0,656,375,260,282,172,293,227,543,299,-43,699,379
456,319,-107,492,-98,220,238,555,442,237,59,422,188,466,258,1,617,354
536,222,-87,495,-118,324,80,602,316,263,71,514,154,404,254,75,580,376
319,150,17,463,-41,49,404,434,79,290,126,455,63,418,291,73,591,384
392,355,-213,505,19,-44,585,303,292,244,90,411,-8,444,319,109,566,370
656,372,-256,375,12,143,322,451,514,165,13,456,89,395,294,151,491,341
478,16,46,247,-49,263,101,572,300,81,-52,458,223,335,241,86,414,274
188,-13,58,391,-266,291,491,360,162,69,-46,440,201,340,236,97,386,245
412,375,-258,448,-463,249,840,257,381,106,14,475,124,325,235,199,365,287
698,419,-321,253,-280,160,395,472,510,48,7,483,96,271,199,180,281,296
457,254,-80,205,-20,135,138,504,370,3,-20,482,46,305,241,163,241,279
191,477,-15,347,-80,109,487,432,333,108,4,554,56,356,293,244,302,291
433,672,-217,361,-47,92,383,561,536,160,-33,587,250,280,215,243,293,249
688,507,-327,253,165,149,201,441,641,81,-107,506,323,237,177,219,208,167
554,424,-230,201,24,136,523,177,495,72,-73,453,31,322,239,266,207,166
457,467,-113,185,-179,157,234,415,387,133,-9,485,-110,298,204,235,219,201
585,473,-132,140,16,380,-418,678,519,87,-30,489,196,175,124,159,141,189
631,583,-233,65,155,432,-119,428,705,-33,-69,443,325,220,167,184,96,177
580,636,-178,-17,52,183,322,269,703,-60,-48,426,81,306,223,216,150,200
571,536,-120,-6,46,145,38,380,563,15,-27,430,16,216,201,175,178,198
568,549,-366,77,78,370,-185,322,473,42,-96,409,139,149,176,120,117,133
595,518,-465,-6,147,445,-237,263,467,-19,-179,373,201,186,154,76,41,65
633,317,-166,-188,330,414,-454,319,498,-70,-167,333,276,154,134,43,-1,81
562,442,-111,-154,277,424,-367,248,589,-73,-136,358,204,159,173,46,-4,158
515,894,-309,-20,21,361,-65,320,699,-28,-111,520,-3,281,234,126,52,199
631,1052,-220,-33,42,370,-30,573,715,64,-9,658,111,305,261,277,125,228
649,932,-54,-84,248,533,76,448,619,103,86,632,387,276,297,345,116,311
494,895,-141,-64,257,472,260,159,548,22,46,566,293,317,299,240,1,343
533,809,-362,-54,132,229,-73,256,623,-90,-80,472,56,216,169,102,-164,218
646,588,-455,-136,105,233,-562,374,671,-167,-163,302,98,9,33,10,-302,81
363,502,-245,-236,156,277,-466,242,450,-214,-134,283,254,-23,34,-54,-345,67
60,560,-93,-159,148,94,-108,173,259,-252,-65,426,248,10,85,-37,-351,110
306,522,-264,-24,141,71,-207,189,494,-290,-84,420,160,-59,95,-2,-431,131
551,418,-297,-96,253,220,-609,186,731,-305,-150,301,173,-91,59,-90,-531,103
240,376,-188,-186,329,63,-535,113,453,-304,-174,268,200,-45,9,-192,-548,17
