channels,n_obs,n_back,max_iter,post_optimize,time_mean,time_min,time_max,exp,n_repeats
1,200,5,5,True,7.054663820000132,6.967511700000614,7.235515100008342,obs_scaling,
2,200,5,5,True,8.915893819998018,8.86185749998549,8.955308000004152,obs_scaling,
3,200,5,5,True,10.721762879996096,10.632709299999988,10.805772099993192,obs_scaling,
4,200,5,5,True,12.38983339999686,12.309230699989712,12.497311500017531,obs_scaling,
5,200,5,5,True,14.020480920007685,13.97548240001197,14.063323000009404,obs_scaling,
6,200,5,5,True,15.841142499999842,15.742316299991217,15.919586600008188,obs_scaling,
7,200,5,5,True,17.587057380005717,17.43116549999104,17.739976100012427,obs_scaling,
8,200,5,5,True,19.23338055999484,19.122392899997067,19.323115099978168,obs_scaling,
1,300,5,5,True,7.353125759994145,7.320511900004931,7.385523999982979,obs_scaling,
2,300,5,5,True,9.463847160007571,9.40550270001404,9.507871100009652,obs_scaling,
3,300,5,5,True,11.338957819988718,11.250208499986911,11.387291199993342,obs_scaling,
4,300,5,5,True,13.06869863999891,12.982044600008521,13.124315399996703,obs_scaling,
5,300,5,5,True,14.94605802000151,14.878832399990642,15.043400099995779,obs_scaling,
6,300,5,5,True,16.731793779996224,16.692299099988304,16.791775599995162,obs_scaling,
7,300,5,5,True,18.567011679999997,18.524696699983906,18.65390269999625,obs_scaling,
8,300,5,5,True,20.24288446000428,20.08875349999289,20.360425899998518,obs_scaling,
1,400,5,5,True,7.756643459992484,7.722384699998656,7.805106699990574,obs_scaling,
2,400,5,5,True,9.918267539999215,9.893178700003773,9.955936000013025,obs_scaling,
3,400,5,5,True,11.822906859999057,11.735624499997357,11.936178000003565,obs_scaling,
4,400,5,5,True,13.601559239992639,13.545551099989098,13.653048999985913,obs_scaling,
5,400,5,5,True,15.545783719996688,15.451335600024322,15.632425199990394,obs_scaling,
6,400,5,5,True,17.415073659998598,17.389287599973613,17.440301399998134,obs_scaling,
7,400,5,5,True,19.131413340003927,19.035662100010086,19.21993249998195,obs_scaling,
8,400,5,5,True,21.042388379992918,20.92521349998424,21.144696499977726,obs_scaling,
1,500,5,5,True,8.299271960003534,8.216846400027862,8.325384800002212,obs_scaling,
2,500,5,5,True,10.477731239999411,10.425534000009065,10.521624299988616,obs_scaling,
3,500,5,5,True,12.490040859999135,12.407471799990162,12.574295000027632,obs_scaling,
4,500,5,5,True,14.401080280001043,14.345801399991615,14.458119599992642,obs_scaling,
5,500,5,5,True,16.382889960001922,16.29447649998474,16.44134240000858,obs_scaling,
6,500,5,5,True,18.149372500006574,18.117697900015628,18.186629900010303,obs_scaling,
