channels,n_obs,n_back,max_iter,post_optimize,time_mean,time_min,time_max,exp,n_repeats
1,250,5,5,True,12.502199359997755,12.40358969999943,12.635398400001575,obs_scaling,
2,250,5,5,True,12.54417673999851,12.480663599999389,12.66648189999978,obs_scaling,
3,250,5,5,True,12.549223679999704,12.459224999998696,12.67024130000209,obs_scaling,
4,250,5,5,True,12.63708031999704,12.51457109999319,12.724377799997455,obs_scaling,
5,250,5,5,True,19.355049540003527,19.024686900011147,19.57427499999176,obs_scaling,
6,250,5,5,True,19.235278000001564,19.078899800006184,19.299446499993792,obs_scaling,
7,250,5,5,True,19.34143084000097,18.918247000008705,19.615807800000766,obs_scaling,
8,250,5,5,True,19.3485090800008,19.097217900009127,19.673247400001856,obs_scaling,
1,500,5,5,True,13.94306615999667,13.704157100000884,14.159679799995502,obs_scaling,
2,500,5,5,True,13.9686343999987,13.857590500003424,14.062467299998389,obs_scaling,
3,500,5,5,True,13.876470800000243,13.62341080000624,14.102913499998976,obs_scaling,
4,500,5,5,True,13.63791228000482,13.5444378000102,13.710369000007631,obs_scaling,
5,500,5,5,True,21.228751779999584,20.965405900002224,21.821660600006,obs_scaling,
6,500,5,5,True,20.99055981999845,20.91977279999992,21.06266680000408,obs_scaling,
7,500,5,5,True,21.09104257999861,20.977223499998217,21.211757000011858,obs_scaling,
8,500,5,5,True,21.72731516000058,21.069557599999825,22.09615759999724,obs_scaling,
1,750,5,5,True,15.489835820000737,15.221279300007154,15.994949600004476,obs_scaling,
2,750,5,5,True,15.316600359999574,15.25051959999837,15.450965299998645,obs_scaling,
3,750,5,5,True,15.39587925999658,15.325857999996517,15.430935399999726,obs_scaling,
4,750,5,5,True,15.409441859999788,15.369386299993494,15.520291499997256,obs_scaling,
5,750,5,5,True,23.39721676000336,23.19484850000299,23.88775710000482,obs_scaling,
6,750,5,5,True,23.788190940002096,23.45963230000052,24.03017850000469,obs_scaling,
7,750,5,5,True,23.7490248200018,23.52001530000416,24.489770200001654,obs_scaling,
8,750,5,5,True,23.760427459998755,23.63687729999947,23.991366000002017,obs_scaling,
1,1000,5,5,True,37.16440445999906,35.689898999989964,38.47390140000789,obs_scaling,
2,1000,5,5,True,38.97874650000013,38.01599790000182,39.55477590000373,obs_scaling,
3,1000,5,5,True,37.05004666000313,33.25475170000573,40.41633290000027,obs_scaling,
4,1000,5,5,True,37.99720269999525,36.60949370000162,39.08489489999192,obs_scaling,
5,1000,5,5,True,53.182794780001856,51.42396430000372,56.45833019999554,obs_scaling,
6,1000,5,5,True,51.884509519999845,49.46432909999567,54.50256949999312,obs_scaling,
7,1000,5,5,True,56.85533730000316,54.2088403999951,58.78081270000257,obs_scaling,
8,1000,5,5,True,54.973988519996055,53.4032836999977,55.684937199999695,obs_scaling,
4,250,5,10,True,52.15614547000296,,52.63069610000821,obs_scaling,10.0
4,500,5,10,True,59.38444801000442,,60.56831430000602,obs_scaling,10.0
4,750,5,10,True,66.48568836999766,,66.57879489999323,obs_scaling,10.0
4,1000,5,10,True,174.16761688999978,,176.54252869999618,obs_scaling,10.0
4,500,2,1,True,1.4189623500045854,,1.4265444000047864,iter_nback_scaling,10.0
4,500,2,1,False,1.4083888800028943,,1.4229040000063833,iter_nback_scaling,10.0
4,500,2,5,True,8.156500229996164,,8.183837100004894,iter_nback_scaling,10.0
4,500,2,5,False,7.964373259997228,,7.976361199995154,iter_nback_scaling,10.0
4,500,2,10,True,16.563810969999757,,16.605044500000076,iter_nback_scaling,10.0
4,500,2,10,False,16.16399723000068,,16.236180899999454,iter_nback_scaling,10.0
4,500,2,15,True,24.709461210003063,,24.98225220000313,iter_nback_scaling,10.0
4,500,2,15,False,24.069739750000007,,24.169124699998065,iter_nback_scaling,10.0
4,500,2,20,True,33.2844338600029,,33.39936860000307,iter_nback_scaling,10.0
4,500,2,20,False,32.36987719000317,,32.54614840001159,iter_nback_scaling,10.0
4,500,3,1,True,2.329526729998179,,2.353970800002571,iter_nback_scaling,10.0
4,500,3,1,False,2.304537639998307,,2.312423999988823,iter_nback_scaling,10.0
4,500,3,5,True,13.89713405000075,,13.9192206000007,iter_nback_scaling,10.0
4,500,3,5,False,13.41784240999841,,13.457842399991932,iter_nback_scaling,10.0
4,500,3,10,True,28.18532090000226,,28.37552040000446,iter_nback_scaling,10.0
4,500,3,10,False,27.43856433000037,,27.710408800005094,iter_nback_scaling,10.0
4,500,3,15,True,42.4323641200026,,42.61833009999828,iter_nback_scaling,10.0
4,500,3,15,False,41.635820980000425,,41.925411099990015,iter_nback_scaling,10.0
4,500,3,20,True,56.786695009993856,,57.24951639999927,iter_nback_scaling,10.0
4,500,3,20,False,55.47851228999789,,55.964844000001904,iter_nback_scaling,10.0
