"V1","V2","V3","V4","V5"
668.96698,2895.699951,3648.540039,2402.439941,3347.959961
669.46698,2802.98999,3409.639893,2290.409912,3379.570068
669.96698,3015.129883,3492.709961,2301.810059,3516.280029
670.46698,2788.620117,3437.48999,2289.429932,3229.389893
670.96698,2763.129883,3366.540039,2282.51001,3163.73999
671.46698,2463.659912,3505.110107,2334.280029,3490.469971
671.96698,2386.090088,3779.97998,2507.439941,3306.330078
672.46698,2348.209961,3419.189941,2268.370117,3456.899902
672.96698,2555.919922,3649.939941,2151.840088,2736.060059
673.46698,2749.169922,3608.48999,2444.800049,3040.169922
673.96698,2287.02002,3597.050049,2238.139893,3104.050049
674.46698,2641.01001,3767.469971,2272.149902,3058.610107
674.96698,2469.050049,3512.060059,2125.300049,3123.889893
675.46698,2181.909912,3393.129883,2292.02002,3290.659912
675.96698,2261.820068,3342.719971,2132.330078,3077.560059
676.46698,2154.540039,3536.459961,2140.459961,2740.929932
676.96698,2268.820068,3073.199951,2118.139893,3196.949951
677.46698,2250.169922,3076.75,2077.780029,3222.26001
677.96698,2155.439941,3371.659912,2130.899902,2961.719971
678.46698,2658.870117,3164.030029,2230.540039,2797.72998
678.96698,2429.22998,3261.97998,2275.060059,3086.100098
679.46698,2388.209961,3121.25,2285.590088,3050.620117
679.96698,2267.709961,3239.830078,2073.889893,3200.969971
680.46698,2447.110107,3188.870117,2087.449951,3066.199951
680.96698,2002.839966,3231.51001,2254.469971,2715.669922
681.46698,2336.959961,3545.370117,2345.5,2891.949951
681.96698,1906.97998,3488.110107,2012.829956,2825.679932
682.46698,2128.100098,3210.120117,2006.109985,2847.050049
682.96698,2174.570068,2871.689941,2093.52002,3153.840088
683.46698,2091.120117,3134.149902,2241.060059,2780.090088
683.96698,2362.320068,3206.52002,2011.02002,2854.370117
684.46698,1901.160034,2967.340088,2002.930054,2944.860107
684.96698,2110.01001,3158.47998,2081.659912,2791.090088
685.46698,2148.939941,3065.51001,1907.150024,3000.639893
685.96698,2012.150024,2777.840088,2043.670044,3105.899902
686.46698,2213.5,3131.669922,2243.800049,3109.47998
686.96698,2395.179932,2914.780029,2304.699951,2928.73999
687.46698,1875.829956,2751.620117,2252.830078,2942.689941
687.96698,2177.129883,3303.649902,1805.72998,2738.02002
688.46698,2276.280029,2888.560059,2234.929932,3035.570068
688.96698,1689.76001,3169.689941,2221.47998,2874.120117
689.46698,2089.360107,3066.330078,2079.75,3016.179932
689.96698,2257.629883,3170.929932,2300.110107,3211.449951
690.46698,2069.98999,3111.100098,2176.149902,3258.580078
690.96698,2320.48999,2848.47998,1894.130005,2990.139893
691.46698,2170.669922,3587.570068,2041.810059,3164.870117
691.96698,2254.679932,3389.830078,2415.26001,3237.48999
692.46698,1971.319946,3169.280029,1925.939941,3033.02002
692.96698,2038.589966,3075.149902,2176.659912,3020.159912
693.46698,2185.340088,3120.459961,2340.26001,3088.889893
693.96698,2178.76001,3410.189941,2131.310059,2796.389893
694.46698,2114.969971,3379.97998,2087.159912,2693.659912
694.96698,2477.209961,3240.48999,2272.830078,3036.76001
695.46698,2042.040039,3529.290039,2200.340088,2946.189941
695.96698,2551.649902,3291.639893,2072.050049,2600.889893
696.46698,2351.189941,3067.679932,2245.51001,3103.719971
696.96698,2066.459961,2826.73999,1940.140015,2945.469971
697.46698,2379.699951,3431.350098,2271.620117,3244.469971
697.96698,2235.379883,3339.889893,2174.23999,3148.070068
698.46698,2394.47998,3330.639893,2303.120117,3183.659912
698.96698,2408.090088,3219.459961,2141.330078,3214.370117
699.46698,2459.040039,3437.860107,2183.909912,3373.159912
699.96698,2381.189941,3591.98999,2314.649902,3066.310059
700.46698,2212.090088,3339.360107,2252.25,3213.219971
700.96698,2141,3442.939941,2232.959961,3146.939941
701.46698,2247.929932,3425.52002,2112.22998,3242.290039
701.96698,2578.149902,3442.280029,2167.340088,3462.629883
702.46698,2579.209961,3189.939941,2235.25,3633.659912
702.96698,2128.850098,3627.429932,2242.550049,3302.639893
